item_id	category	r_complement	r_substitute
48	0	[1434, 1706, 5982, 1137, 1593, 1322, 1318, 1323, 1700, 1321, 1595, 803, 1320, 6606, 320, 3813, 6363, 2114, 2451, 1709, 782, 1594, 1029, 1984, 1727, 1707, 3644, 3493, 1775]	[554, 6798, 782, 4351, 1700, 4362]
49	0	[272, 4583, 2035]	[272, 254, 2204, 826, 7320, 7522, 2035]
50	0	[6530, 4499, 5552, 8100, 4689, 6750, 7025, 4019, 5120, 4168, 5521, 4163, 5553, 2043, 4239, 242, 2426, 5978, 1436, 4500, 6807, 4625, 7312]	[7646, 6944, 6927, 3149, 6807, 4499, 3668]
51	0	[4890, 7717, 7902, 6262, 3882, 5504, 4848, 3883, 6113, 7903, 7160, 7906, 4571, 6226]	[4890, 7902, 1309, 6262, 3882, 4848, 3883, 4571]
52	0	[2386, 7371, 2391, 2039, 142, 6917, 2374, 4589, 5315, 3631, 6005, 8330, 1419, 5937, 521, 95, 146, 5309, 2396]	[5761, 6917, 2374, 6913, 1419, 4589, 4988, 3631, 53, 2039, 8208, 12, 4175, 6005, 4464, 4162, 6965, 521]
53	0	[5561, 747, 2467, 6917, 2374, 4589, 3631, 6465, 160, 3580, 6713, 8330, 4697, 5654, 2336, 1419, 5630, 2527, 708, 3429, 4406, 4111, 3466, 95, 4619, 2700, 2396, 6965]	[52, 2039, 12, 5761, 2374, 6913, 4589, 4988, 3631, 6005, 1419, 5480, 3478, 8208, 7789, 521, 4175, 4464, 6965]
54	0	[]	[222]
55	0	[7466, 211, 6994, 2254, 169, 6522, 6299, 4959, 7265, 4631, 5780, 286, 1889, 5474, 4584, 1855, 7488, 826, 1155, 5027, 216, 1887, 6667, 214, 2833, 1677, 1283, 212, 4016, 4592, 7297, 4796, 5004]	[6929, 1155, 212, 2803, 2505, 4016, 7488, 6667, 2254, 6982, 214, 1606, 2833, 7297, 6299, 3962, 4631, 3089]
56	0	[5963, 6802, 4094, 2548, 3627, 4651, 6523, 8251, 3542, 2698, 2049, 4079, 4088, 4502, 3625, 2596, 4316, 4965, 2104, 6576, 4027, 7578, 2886, 2108, 7604, 123, 2587, 2234, 7627, 5122, 2708, 5539, 5773, 1515, 2018, 4194, 1949, 4506, 1703, 965, 4363, 2629, 5538, 6934, 2369, 3957, 8001, 2064, 6100, 2643, 6080, 6791, 4158, 5734]	[6576, 3627, 6523, 3655, 3656, 2698, 4079, 4158, 4502, 3625, 2596, 2049, 4506, 2234, 5122, 1207, 965]
57	0	[95]	[2226, 322, 646, 4680, 7161, 95, 5470, 1069, 190, 2593, 2376, 1955, 1552, 6433, 5716]
59	53	[2219, 7631, 350, 369, 2216, 2218, 5057, 2578, 152, 7404, 831, 7403, 2784, 7856, 2217]	[473, 350, 347, 2216, 2578, 2784, 2217]
60	16	[7495, 2782, 4296, 4838, 4834, 5620, 5470, 65, 8285, 2901, 1778, 2456, 1735]	[7495, 7697, 6804, 387, 3235, 6187, 8285, 1416, 8020, 8003]
58	29	[7607, 8087, 366, 407, 5315, 4444, 2309, 359, 7290, 8285, 363, 2466, 2395, 2456, 8018, 2217, 1416]	[366]
61	29	[358, 381, 4901]	[358, 4901]
62	53	[8285]	[2588, 7403, 475, 350]
63	45	[3686, 298, 93, 434, 7320, 7752, 5325, 1842, 6539, 8330, 4916, 4493, 831, 3690, 1416, 2217, 2226, 322, 7701, 788, 5656, 2488, 2468, 141]	[7755, 93, 322, 7752, 3318]
64	53	[298, 3235, 2309, 1725, 2125, 4069, 4263, 726, 6677, 5639, 2785, 2674, 2634, 2588, 4296, 3723, 8116, 8367, 3992, 5313, 4388, 1386, 3762, 5469, 7701, 2093, 2747, 2466, 2395, 6678]	[2588, 1386, 2093, 2309, 6677, 7290, 5639, 2747, 1725, 2466, 2674, 6678, 7865]
65	52	[8421, 298, 3235, 2391, 8323, 747, 5779, 2779, 6367, 2799, 8207, 8398, 3843, 5325, 7801, 2456, 3608, 2130, 1682, 8330, 4916, 8052, 4240, 5621, 3690, 711, 6531, 3084, 1416, 2335, 3609, 2041, 5469, 322, 8285, 353, 2197, 7757, 2398]	[2391, 7206, 5483, 1666, 5738, 3843, 3841, 2421, 5063, 2456, 5364, 3842, 8052, 3917, 7654, 2052, 2335, 2051, 7349, 3603, 2334, 2041, 5736, 6069, 2435, 6721, 3088]
66	0	[2072, 5935]	[5935, 2072, 4671, 3320]
68	0	[366, 5935, 8278, 2093, 4588, 2192, 2195, 2410, 6520, 7516, 2466, 1514, 1700, 4263]	[2178, 2168, 8278, 4588, 2181, 2171, 2195, 2410, 7516, 377, 1514, 182, 664, 2192, 3532]
67	0	[1434, 1137, 1593, 1700, 117, 1691, 3579, 2374, 3865, 4589, 8177, 460, 320, 1594, 1984, 1029, 3644, 95, 3493, 1775]	[1691, 3579, 2331, 2072, 3644, 3035, 1434, 3865, 8177, 460, 1029, 2114, 138]
69	0	[4414, 2588, 4411, 4604, 2093, 5400, 3129, 2309, 7587, 1725, 2125, 2466, 7355]	[4414, 2588, 1386, 4411, 7540, 4604, 2093, 7984, 5400, 2309, 7587, 1725, 2125, 2466, 7355, 4565]
70	0	[]	[5450, 1554, 2064, 7621, 5448]
72	0	[4123, 7746, 107, 7805, 6392, 3739]	[6392, 7746, 7805, 3739]
74	0	[4446, 5561, 6463, 6466, 7280, 105, 6159, 6137, 117, 1888, 107, 5835, 7450, 6465, 760, 313, 5672, 106, 6464, 521, 5919]	[1985, 5835, 8313, 3401, 105, 3404, 2096, 6159, 6137, 6464]
71	0	[298, 5561, 7954, 2779, 8207, 5087, 5470, 5665, 6875, 2456, 8043, 6713, 8330, 4916, 831, 6531, 1416, 2782, 5469, 322, 7701, 8285, 167, 7757]	[2001, 6713, 2782, 5198, 7701, 108, 5470, 774, 4493, 7645, 167, 2779, 8330]
77	0	[6450, 6980, 6895, 7745, 5060, 6460, 6435, 760, 7736, 730, 6490, 773, 6437, 180, 3966]	[2570, 773, 399, 180, 2398]
73	0	[298, 7954, 2570, 747, 5228, 1735, 743, 5819, 8080, 6432, 7450, 727, 3929, 8139, 6875, 6490, 2569, 4488, 6713, 6539, 3485, 2781, 4834, 166, 165, 5683, 8116, 6433, 712, 735, 5868, 2782, 2560, 6989, 6897, 5469, 7701, 71, 115, 167, 4665, 6678, 141]	[5561, 2570, 7450, 7709, 2569, 2634, 7706, 771, 165, 2780, 1976, 712, 735, 6897, 2782, 5868, 71, 167, 2566]
75	0	[93, 4144, 439, 3926, 6740, 4055, 4839, 1864, 4057, 7736, 5527, 3965, 5528, 7333, 1888, 1889, 8178, 5037, 760, 3919, 5529, 5837, 4296, 1811, 780, 5882, 1976, 1860, 1887, 96, 4016, 254, 1250, 86, 6437, 297, 2597, 2371, 7584]	[1811, 1889, 8178, 439, 5882, 3926, 541, 4839, 4057, 5527, 7736, 760, 297, 5837]
76	0	[134]	[8426, 3266, 7745, 134, 3927, 3965, 180, 5226, 5060, 4964, 2531, 3634, 7801, 742, 6980, 6895, 2147, 4178, 4444, 1821]
78	0	[8421, 8426, 2391, 5779, 4243, 2210, 7483, 7801, 8330, 366, 4916, 319, 3690, 1416, 6930, 7403, 94, 2395, 2488]	[366, 369, 2210, 8428, 347]
79	0	[5189, 3235, 6300, 745, 6740, 3419, 2408, 4631, 4622, 4838, 3553, 2308, 3340, 5060, 6689, 5470, 4849, 2901, 6618, 1995, 3460, 7801, 7483, 1229, 6997, 4110, 2781, 4834, 5763, 6652, 3483, 319, 80, 181, 8189, 194, 711, 8161, 3031, 720, 96, 8053, 5469, 4016, 113, 3030, 5666, 6045, 5225, 2397, 3551]	[5189, 3235, 1082, 745, 7580, 8138, 1230, 6689, 4849, 88, 734, 2901, 3634, 1229, 3460, 8330, 4755, 6168, 6652, 194, 227, 720, 6560, 3960, 6679, 4619, 3030, 2488, 1785]
80	0	[5189, 298, 3235, 8356, 6898, 1082, 6740, 1294, 7580, 1522, 8338, 79, 7808, 7862, 4838, 7908, 4624, 2116, 5470, 4270, 7483, 1842, 7801, 5667, 6118, 7354, 8043, 8330, 4916, 4834, 6652, 7277, 7367, 8189, 1455, 8179, 5404, 194, 1416, 7366, 7632, 720, 5631, 6754, 8053, 4621, 5469, 322, 4620, 7701, 7289, 5762, 2488, 7863, 7757, 1517, 2398]	[7808, 4838, 7862, 4834, 8356, 1082, 1695, 723, 8179, 1084, 7863, 8338, 7354]
87	0	[83, 809, 434, 2394, 5038, 2391, 5412, 5908, 6483, 2004, 2522, 6300, 4598, 6725, 7124, 85, 2390, 5562, 142, 7757, 82, 2387, 81, 1893, 5037, 7145, 4243, 302, 2384, 3580, 7801, 5618, 2456, 2641, 8330, 4916, 1907, 1548, 499, 5027, 703, 84, 2382, 6095, 5598, 5230, 6496, 4242, 7161, 2375, 86, 5043, 238, 6037, 5604, 2396]	[83, 4144, 3047, 2004, 3755, 6517, 5810, 5527, 2487, 85, 1019, 81, 82, 7145, 5816, 5618, 3048, 2641, 4591, 5532, 3333, 84, 86]
81	0	[5764, 87, 83, 2394, 998, 4267, 8262, 3986, 5040, 3668, 85, 5717, 1203, 215, 6427, 121, 6617, 1019, 6587, 6722, 5028, 82, 6049, 5037, 7145, 5060, 4589, 3717, 5618, 5042, 8025, 7679, 6092, 5034, 1283, 84, 1480, 1737, 212, 6469, 95, 86, 6600, 6965]	[83, 87, 4144, 2004, 3755, 6517, 5810, 5527, 2487, 85, 1019, 82, 2471, 7145, 5816, 5618, 2641, 4591, 5531, 84, 1020, 86, 4247]
84	0	[87, 83, 81, 82, 7145, 6244, 6483, 7442, 272, 86, 994, 1670, 85, 5618]	[87, 83, 81, 82, 7145, 3755, 86, 2473, 85, 5618, 6037]
88	0	[7795, 5038, 8262, 8036, 5040, 8282, 7797, 1130, 399, 6137, 6427, 8013, 7334, 4320, 5028, 3902, 116, 107, 5037, 8051, 5023, 7569, 7708, 3634, 4195, 5036, 7646, 2558, 294, 5027, 5937, 106, 5035, 7679, 8037, 5032, 5033, 2132, 101, 5041, 5031, 5024, 400, 5788, 5043]	[7646, 7795, 116, 107, 8051, 8262, 7679, 5031, 7797, 1130, 399, 7708, 3634, 8013]
82	0	[2386, 87, 83, 5709, 2394, 7685, 8262, 3755, 2522, 5388, 5810, 7333, 85, 6427, 1019, 2328, 1624, 6722, 5028, 81, 6841, 3902, 5308, 7335, 5037, 3604, 7145, 2384, 6318, 3717, 5618, 430, 5875, 6854, 4022, 1280, 2388, 4679, 7679, 7077, 1943, 84, 2382, 1737, 122, 86, 5788, 6037, 6965]	[87, 83, 3755, 4057, 6517, 5810, 2473, 85, 1019, 81, 7145, 3048, 5618, 4591, 3462, 84, 1020, 4590, 86, 5815]
83	0	[87, 6483, 2004, 5040, 856, 27, 5025, 1203, 85, 5717, 1019, 5778, 1196, 82, 81, 3968, 5037, 7145, 5023, 5036, 5618, 5702, 7646, 5875, 2267, 1280, 7679, 84, 7374, 7759, 6434, 1020, 1737, 4371, 86, 1021, 1730, 8038, 5530, 5788]	[1020, 87, 82, 81, 1280, 7145, 3047, 5037, 3755, 86, 4120, 85, 84, 5618, 1019, 1196]
89	0	[142, 5003, 3220, 8448, 1040, 4267, 3613, 95, 2217, 693, 4020, 190, 5726, 7117, 4315, 2115, 6965]	[2226, 142, 2219, 5003, 434, 8448, 3613, 95, 3292, 2217, 4020, 5726, 7117, 2115, 6893]
85	0	[87, 83, 7344, 7685, 5412, 6483, 2004, 3755, 2166, 4612, 5527, 994, 2473, 6299, 5778, 5028, 82, 81, 7335, 5037, 7145, 816, 826, 232, 5618, 7464, 5875, 1280, 5027, 7679, 5532, 198, 5034, 214, 1670, 84, 96, 5033, 4016, 122, 7467, 86, 5031, 2725, 6853, 823, 7468, 6037, 1893]	[87, 83, 7466, 7685, 3047, 3755, 2004, 6517, 5810, 5527, 2487, 2639, 82, 81, 7145, 403, 5037, 7996, 186, 5618, 3048, 5529, 7464, 4591, 5027, 84, 7467, 86, 6037]
86	0	[87, 83, 6287, 6300, 3047, 3926, 3046, 6740, 2004, 6483, 5040, 4055, 5527, 7736, 2487, 4839, 7785, 85, 1019, 82, 2717, 7584, 1889, 81, 8178, 5037, 1729, 1893, 7145, 1412, 1146, 760, 1873, 5036, 5618, 5529, 6479, 4834, 5027, 5532, 84, 1737, 4016, 7467, 254, 4444, 5031, 2395, 2597, 1730, 2371, 5043, 55, 6037, 5530, 6748]	[83, 87, 4144, 7685, 3047, 3046, 2004, 4055, 3755, 606, 4057, 5527, 2487, 85, 2639, 82, 81, 7145, 5037, 1146, 186, 5618, 3048, 5529, 5532, 84, 6037]
90	52	[298, 7302, 836, 5455, 5664, 1735, 8369, 8207, 8176, 3243, 8173, 3329, 2591, 734, 8328, 8346, 3137, 6991, 8330, 4916, 4834, 837, 5458, 4282, 3139, 831, 8362, 8367, 1416, 6449, 262, 4653, 3992, 7618, 6897, 3762, 7701, 3198, 8157, 3138, 3247]	[7302, 836, 5664, 2591, 3329, 8173, 3137, 5458, 4282, 3139, 6449, 7618, 8309, 3198, 3138, 3140, 6998, 8175, 7128]
92	0	[5045, 7466, 3600, 994, 4751, 121, 5474, 4584, 5196, 272, 826, 213, 2035, 5818, 124, 3601, 214, 292, 91, 20, 3598, 7037, 212, 4583, 4017, 122, 4077, 7220, 120, 4796, 204, 2156, 5004, 6227, 823, 7468, 19]	[5045, 7466, 3600, 994, 161, 121, 4584, 5474, 272, 826, 2035, 124, 8043, 91, 212, 4017, 7220, 4592, 120, 2156, 3601]
91	0	[5045, 2959, 7552, 3600, 994, 161, 2120, 121, 92, 4269, 824, 825, 3373, 5681, 1922, 4584, 7257, 826, 3895, 2035, 3358, 4049, 1056, 430, 8043, 2, 4022, 3584, 292, 8018, 6908, 20, 212, 4114, 4077, 5438, 1921, 7220, 120, 204, 259, 2156, 2488, 823, 3601, 19]	[7552, 2120, 121, 92, 824, 825, 1922, 1052, 829, 7257, 826, 827, 3895, 124, 2, 292, 4077, 1921, 204, 2156, 823]
93	0	[4144, 6740, 7736, 4113, 2799, 2803, 1889, 6130, 5620, 2485, 5325, 760, 2389, 7801, 3919, 4104, 8330, 4834, 6440, 1190, 780, 4127, 5621, 3690, 63, 720, 2226, 322, 7701, 5656, 3776, 4120, 4124, 2468, 4028]	[4296, 2803, 4144, 780, 7736, 2371, 63, 96, 2468]
94	0	[2386, 1698, 2394, 2381, 2391, 2377, 2522, 3927, 6526, 2390, 2378, 2387, 144, 5315, 4243, 2384, 1689, 7801, 2380, 4244, 7962, 2392, 4296, 7910, 2515, 4238, 7966, 2393, 2784, 2382, 4242, 6244, 2375, 4237, 2028, 2395, 7217, 1692, 2396, 7961]	[2386, 2394, 2391, 2522, 8358, 1760, 2799, 5620, 144, 5315, 4243, 2384, 1689, 3608, 4244, 7962, 2392, 4238, 2784, 4242, 1690, 2375, 4237, 2395, 2006, 2396]
95	0	[5003, 52, 284, 5704, 190, 1714, 5779, 1713, 5780, 321, 142, 4589, 2433, 2384, 5222, 1412, 2494, 5506, 4139, 216, 6258, 831, 7117, 2217, 7720, 2793, 6244, 7094, 4020, 2395, 2115]	[142, 5003, 2793, 8386, 284, 6425, 190, 1714, 2494, 2217]
96	0	[5189, 6300, 4021, 3926, 6740, 2004, 152, 6994, 3965, 5527, 7736, 7580, 4057, 1714, 2731, 6851, 5780, 5681, 5470, 3959, 760, 2901, 8049, 7801, 2126, 6991, 8330, 4916, 304, 4296, 6440, 5882, 7198, 319, 1976, 2327, 8122, 227, 3084, 8018, 8053, 7212, 3762, 4620, 8123, 7701, 4016, 254, 4444, 1250, 2725, 2597, 2371, 5472]	[4296, 93, 780, 646, 6941, 2004, 2327, 7736, 2597, 2371, 7584]
99	0	[98, 5794, 100, 6682, 5252, 7710, 3930, 4510, 4638, 6251, 4296, 6440, 103, 4995, 1640, 1646, 6683, 4828, 101, 1645, 3752, 2706, 6524, 7358]	[98, 100, 6682, 4975, 5252, 3930, 4638, 6443, 6328, 6440, 4995, 1640, 6683, 101, 448, 3752, 2706, 5794, 7358]
100	0	[6326, 98, 99, 5392, 6442, 6682, 7710, 1642, 3930, 4510, 1648, 4638, 6524, 6251, 8330, 4296, 7907, 4834, 2558, 6440, 103, 4995, 1640, 6683, 4828, 101, 1645, 5070, 3752, 2706, 5794, 7358]	[98, 99, 6682, 4975, 7710, 3930, 4638, 6443, 6328, 6440, 4995, 1640, 6683, 101, 448, 3752, 2706, 5794, 7358]
102	0	[7646, 4828, 7710, 6326, 2558, 7907, 6985, 1643, 1642, 103, 4826, 4510, 7363, 5070, 5392, 6524, 4995, 6682]	[6326, 6985, 5392, 6682, 2270, 4510, 7363, 6251, 7646, 2558, 7907, 103, 1644, 4995, 4828, 7601, 4996, 5070, 6524]
98	0	[100, 99, 4827, 5252, 1643, 2270, 1642, 3930, 4510, 7363, 4638, 6524, 2558, 7907, 6440, 103, 4995, 1640, 4828, 6683, 101, 5070, 3752, 5794, 7358]	[5252, 6328, 6683, 7358, 101, 6440, 3930, 100, 4510, 99, 448, 4638, 3752, 6524, 4995, 1640, 6682, 4975]
101	0	[98, 5794, 100, 99, 5252, 7710, 4510, 4638, 2558, 7907, 6440, 103, 4995, 1640, 1646, 4828, 5070, 3752, 6524, 7358]	[7346, 98, 100, 99, 6682, 5252, 7710, 3930, 4510, 4638, 6443, 6440, 4995, 1640, 6683, 4996, 3752, 7786, 7358]
97	0	[7346, 98, 6985, 4826, 99, 5392, 6682, 5252, 7710, 2270, 4510, 7363, 4638, 6524, 6443, 2558, 4829, 6440, 103, 4995, 1640, 4828, 6683, 101, 4817, 4996, 5070, 3752, 5794, 7786, 7358]	[6985, 98, 4826, 5392, 6682, 2270, 4510, 7363, 7907, 2558, 4829, 6440, 103, 4995, 1640, 4828, 4817, 4996, 5070, 3752, 6524, 7786]
103	0	[7346, 6326, 4826, 5392, 4827, 8013, 6682, 2270, 1642, 3930, 4510, 7363, 6251, 7646, 7907, 6440, 1644, 4995, 1640, 6683, 4996, 5070, 3752, 6524, 7786, 7358]	[6683, 4828, 7346, 6326, 6985, 6440, 4510, 4996, 7363, 5070, 5392, 4827, 6524, 7786, 4995, 1640, 6682]
