test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
"{'NDCG@5': 0.4517390985340735, 'HR@5': 0.5953674578209894}","{'NDCG@5': 0.40347627371423866, 'HR@5': 0.5382181110029212}","{'NDCG@5': 0.3810379779574866, 'HR@5': 0.5128205128205128}","{'NDCG@5': 0.36030055132186156, 'HR@5': 0.4890815135855976}","{'NDCG@5': 0.3272477227954736, 'HR@5': 0.45205836373110997}","{'NDCG@5': 0.3071440562092381, 'HR@5': 0.42359748921145546}","{'NDCG@5': 0.2850613920208451, 'HR@5': 0.3964165733482643}","{'NDCG@5': 0.25923139292472214, 'HR@5': 0.3666963125128275}","{'NDCG@5': 0.2238723246883316, 'HR@5': 0.3207881639053658}","{'NDCG@5': 0.18439522630587898, 'HR@5': 0.27057781411828835}"
"{'NDCG@5': 0.4539148064529413, 'HR@5': 0.5962253360022877}","{'NDCG@5': 0.40727763938909733, 'HR@5': 0.5425998052580331}","{'NDCG@5': 0.3847300891634994, 'HR@5': 0.51847365233192}","{'NDCG@5': 0.36291637065199783, 'HR@5': 0.49141523587264546}","{'NDCG@5': 0.3291029967064996, 'HR@5': 0.4551849921834289}","{'NDCG@5': 0.30890748271117247, 'HR@5': 0.42487249901922325}","{'NDCG@5': 0.28714849840519563, 'HR@5': 0.3980263157894737}","{'NDCG@5': 0.2607220886724579, 'HR@5': 0.36710679345967023}","{'NDCG@5': 0.22634201100536258, 'HR@5': 0.32365173518783663}","{'NDCG@5': 0.18567045108655802, 'HR@5': 0.2716680294358136}"
"{'NDCG@5': 0.4551868853188313, 'HR@5': 0.5962253360022877}","{'NDCG@5': 0.40937562936534816, 'HR@5': 0.5443037974683544}","{'NDCG@5': 0.38528793738251726, 'HR@5': 0.5178679588128408}","{'NDCG@5': 0.3640230909691226, 'HR@5': 0.4922487081180197}","{'NDCG@5': 0.32919923662527023, 'HR@5': 0.4542730588848359}","{'NDCG@5': 0.3104072013269244, 'HR@5': 0.426147508826991}","{'NDCG@5': 0.28920283941042935, 'HR@5': 0.3996360582306831}","{'NDCG@5': 0.2625520519965323, 'HR@5': 0.3683382363001984}","{'NDCG@5': 0.22748583318500587, 'HR@5': 0.32378809572509715}","{'NDCG@5': 0.18714775003539555, 'HR@5': 0.27275824475333876}"
"{'NDCG@5': 0.4565518240992595, 'HR@5': 0.597369173577352}","{'NDCG@5': 0.41179143876320146, 'HR@5': 0.5479552093476144}","{'NDCG@5': 0.38651375784740094, 'HR@5': 0.520088835049465}","{'NDCG@5': 0.36561660129847323, 'HR@5': 0.4927487914652442}","{'NDCG@5': 0.330959834757458, 'HR@5': 0.4567483064095883}","{'NDCG@5': 0.31181256781495575, 'HR@5': 0.42683405256963514}","{'NDCG@5': 0.29211624556785243, 'HR@5': 0.4029255319148936}","{'NDCG@5': 0.26386715700351265, 'HR@5': 0.3695696791407265}","{'NDCG@5': 0.22840040352111093, 'HR@5': 0.32460625894866024}","{'NDCG@5': 0.18715119884558462, 'HR@5': 0.2726219678386481}"
"{'NDCG@5': 0.45645353987401677, 'HR@5': 0.5959393766085216}","{'NDCG@5': 0.41297815577866936, 'HR@5': 0.5484420642648491}","{'NDCG@5': 0.387050090488054, 'HR@5': 0.5204926307288512}","{'NDCG@5': 0.36744380386958436, 'HR@5': 0.4949158193032172}","{'NDCG@5': 0.33302363939909185, 'HR@5': 0.45752996352266806}","{'NDCG@5': 0.31405815354416067, 'HR@5': 0.42869752844252645}","{'NDCG@5': 0.29395246271273623, 'HR@5': 0.4049552071668533}","{'NDCG@5': 0.26603539282574146, 'HR@5': 0.37189573783950197}","{'NDCG@5': 0.2296076198501468, 'HR@5': 0.3263107656644167}","{'NDCG@5': 0.18838158301975455, 'HR@5': 0.27398473698555464}"
"{'NDCG@5': 0.46003567852684624, 'HR@5': 0.5985130111524164}","{'NDCG@5': 0.41559727137677643, 'HR@5': 0.5535540408958131}","{'NDCG@5': 0.3871742486435838, 'HR@5': 0.5192812436906925}","{'NDCG@5': 0.36758403552983937, 'HR@5': 0.49391565260876813}","{'NDCG@5': 0.33427722385313563, 'HR@5': 0.45883272537780095}","{'NDCG@5': 0.3143710775421944, 'HR@5': 0.4287956061200471}","{'NDCG@5': 0.295201123435783, 'HR@5': 0.40558510638297873}","{'NDCG@5': 0.2673627513916047, 'HR@5': 0.37305876718888964}","{'NDCG@5': 0.2312460896680854, 'HR@5': 0.3274016499625009}","{'NDCG@5': 0.18932986758806933, 'HR@5': 0.27493867538838923}"
"{'NDCG@5': 0.4602020689266645, 'HR@5': 0.6002287675150129}","{'NDCG@5': 0.4172774841001045, 'HR@5': 0.5559883154819864}","{'NDCG@5': 0.3891906112713145, 'HR@5': 0.5217040177670099}","{'NDCG@5': 0.3688869587817454, 'HR@5': 0.49574929154859143}","{'NDCG@5': 0.33485237457988537, 'HR@5': 0.4605263157894737}","{'NDCG@5': 0.3152142303584242, 'HR@5': 0.4298744605727736}","{'NDCG@5': 0.29673857928493946, 'HR@5': 0.40663493840985443}","{'NDCG@5': 0.26857716582155394, 'HR@5': 0.3744270370116987}","{'NDCG@5': 0.23214447995656834, 'HR@5': 0.3281516329174337}","{'NDCG@5': 0.19046133095876305, 'HR@5': 0.276573998364677}"
"{'NDCG@5': 0.46140537757001016, 'HR@5': 0.6016585644838433}","{'NDCG@5': 0.41847410813794866, 'HR@5': 0.5552580331061344}","{'NDCG@5': 0.3899161426978285, 'HR@5': 0.5233192004845548}","{'NDCG@5': 0.3698850344966582, 'HR@5': 0.49658276379396565}","{'NDCG@5': 0.3361475984851351, 'HR@5': 0.46130797290255343}","{'NDCG@5': 0.316789573702355, 'HR@5': 0.4315417810906238}","{'NDCG@5': 0.2977242948867556, 'HR@5': 0.40670492721164614}","{'NDCG@5': 0.2698229215069827, 'HR@5': 0.3745638639939796}","{'NDCG@5': 0.23315867246557484, 'HR@5': 0.32971977909592964}","{'NDCG@5': 0.19152981701772762, 'HR@5': 0.2775960752248569}"
"{'NDCG@5': 0.46380079880302366, 'HR@5': 0.6013726050900772}","{'NDCG@5': 0.42121455523010887, 'HR@5': 0.5569620253164557}","{'NDCG@5': 0.39134530988317956, 'HR@5': 0.5245305875227135}","{'NDCG@5': 0.37096094205589536, 'HR@5': 0.49758293048841473}","{'NDCG@5': 0.337386489348991, 'HR@5': 0.46300156331422615}","{'NDCG@5': 0.319419896168815, 'HR@5': 0.4347783444488035}","{'NDCG@5': 0.29982428769719954, 'HR@5': 0.40887458006718924}","{'NDCG@5': 0.2713775459449762, 'HR@5': 0.3764794417459123}","{'NDCG@5': 0.23383896878777352, 'HR@5': 0.3301288607077112}","{'NDCG@5': 0.19249602520303713, 'HR@5': 0.27868629054238214}"
"{'NDCG@5': 0.46462375287068186, 'HR@5': 0.6016585644838433}","{'NDCG@5': 0.42214297324667915, 'HR@5': 0.560126582278481}","{'NDCG@5': 0.39216483904852, 'HR@5': 0.5247324853624066}","{'NDCG@5': 0.37215103105199926, 'HR@5': 0.4995832638773129}","{'NDCG@5': 0.3380654313082168, 'HR@5': 0.4628712871287129}","{'NDCG@5': 0.31917458576243496, 'HR@5': 0.4341898783836799}","{'NDCG@5': 0.30145254667685495, 'HR@5': 0.41111422172452405}","{'NDCG@5': 0.272663050598643, 'HR@5': 0.3778477115687214}","{'NDCG@5': 0.23478962495083197, 'HR@5': 0.3307424831253835}","{'NDCG@5': 0.19294976664924954, 'HR@5': 0.2790951212864541}"
"{'NDCG@5': 0.4673973138437549, 'HR@5': 0.6056619959965684}","{'NDCG@5': 0.42262707631182495, 'HR@5': 0.560856864654333}","{'NDCG@5': 0.3924677120659783, 'HR@5': 0.5241267918433272}","{'NDCG@5': 0.37293860718361416, 'HR@5': 0.5009168194699116}","{'NDCG@5': 0.3396897142103603, 'HR@5': 0.4646951537258989}","{'NDCG@5': 0.32109180073917437, 'HR@5': 0.43713220870929775}","{'NDCG@5': 0.30245595761147465, 'HR@5': 0.4108342665173572}","{'NDCG@5': 0.27367599979178747, 'HR@5': 0.3782581925155641}","{'NDCG@5': 0.23550735280306415, 'HR@5': 0.33162882661757687}","{'NDCG@5': 0.1935852276228486, 'HR@5': 0.27902698282910876}"
"{'NDCG@5': 0.4678886025001581, 'HR@5': 0.6056619959965684}","{'NDCG@5': 0.42483222936962634, 'HR@5': 0.5642648490749756}","{'NDCG@5': 0.39332767191888146, 'HR@5': 0.5247324853624066}","{'NDCG@5': 0.37369002296204, 'HR@5': 0.5022503750625105}","{'NDCG@5': 0.34147703966147447, 'HR@5': 0.4671704012506514}","{'NDCG@5': 0.32179219097444645, 'HR@5': 0.43772067477442134}","{'NDCG@5': 0.3031650668860868, 'HR@5': 0.41146416573348266}","{'NDCG@5': 0.27470250916418876, 'HR@5': 0.3794896353560922}","{'NDCG@5': 0.23636480936667806, 'HR@5': 0.33265153064703074}","{'NDCG@5': 0.19471974210035164, 'HR@5': 0.28011719814663394}"
"{'NDCG@5': 0.46925168865617595, 'HR@5': 0.6085215899342293}","{'NDCG@5': 0.42492208424929906, 'HR@5': 0.563777994157741}","{'NDCG@5': 0.3939128036401849, 'HR@5': 0.5265495659196446}","{'NDCG@5': 0.3743472153634473, 'HR@5': 0.5024170695115853}","{'NDCG@5': 0.34095452942713456, 'HR@5': 0.4654768108389786}","{'NDCG@5': 0.3218174659578188, 'HR@5': 0.43762259709690077}","{'NDCG@5': 0.30439138309147834, 'HR@5': 0.4133538633818589}","{'NDCG@5': 0.27606822393817176, 'HR@5': 0.3814052131080249}","{'NDCG@5': 0.2370391899482325, 'HR@5': 0.3325833503784005}","{'NDCG@5': 0.19531893877185763, 'HR@5': 0.28059416734805126}"
"{'NDCG@5': 0.47043804425089825, 'HR@5': 0.610523305690592}","{'NDCG@5': 0.4257334127549894, 'HR@5': 0.5632911392405063}","{'NDCG@5': 0.3947888853026522, 'HR@5': 0.5263476680799516}","{'NDCG@5': 0.3750606080527433, 'HR@5': 0.5020836806134356}","{'NDCG@5': 0.34226620513694406, 'HR@5': 0.4679520583637311}","{'NDCG@5': 0.3231235094619169, 'HR@5': 0.4392899176147509}","{'NDCG@5': 0.30501086862564236, 'HR@5': 0.41349384098544234}","{'NDCG@5': 0.2765846643354704, 'HR@5': 0.3811315591434631}","{'NDCG@5': 0.23806676810072241, 'HR@5': 0.3336742346764846}","{'NDCG@5': 0.19654673072217052, 'HR@5': 0.28175252112292176}"
"{'NDCG@5': 0.47032912530490995, 'HR@5': 0.6093794681155276}","{'NDCG@5': 0.4271660009074803, 'HR@5': 0.564508276533593}","{'NDCG@5': 0.3961315437714516, 'HR@5': 0.5279628507974965}","{'NDCG@5': 0.3764934380138071, 'HR@5': 0.5032505417569595}","{'NDCG@5': 0.3424621609019019, 'HR@5': 0.4671704012506514}","{'NDCG@5': 0.32339118157449603, 'HR@5': 0.4390937622597097}","{'NDCG@5': 0.30594501839530536, 'HR@5': 0.4141937290033595}","{'NDCG@5': 0.2772122087921154, 'HR@5': 0.38161045358144624}","{'NDCG@5': 0.23859499346683927, 'HR@5': 0.33421967682552667}","{'NDCG@5': 0.1969975266346798, 'HR@5': 0.2825701826110657}"
"{'NDCG@5': 0.47139202286236315, 'HR@5': 0.6113811838718902}","{'NDCG@5': 0.42834243877767675, 'HR@5': 0.5657254138266796}","{'NDCG@5': 0.39740225062107, 'HR@5': 0.5287704421562689}","{'NDCG@5': 0.37674198236576006, 'HR@5': 0.502750458409735}","{'NDCG@5': 0.3424940288598594, 'HR@5': 0.4667795726941115}","{'NDCG@5': 0.32443364594996754, 'HR@5': 0.43958415064731265}","{'NDCG@5': 0.3067720898990565, 'HR@5': 0.41468365061590146}","{'NDCG@5': 0.278587823914515, 'HR@5': 0.3838680987890812}","{'NDCG@5': 0.23870422009220646, 'HR@5': 0.33312879252744254}","{'NDCG@5': 0.19685592841853172, 'HR@5': 0.2816162442082311}"
"{'NDCG@5': 0.4728917707735104, 'HR@5': 0.6113811838718902}","{'NDCG@5': 0.4287944063142291, 'HR@5': 0.5662122687439143}","{'NDCG@5': 0.3981442122218923, 'HR@5': 0.5303856248738138}","{'NDCG@5': 0.3777601106476559, 'HR@5': 0.5039173195532589}","{'NDCG@5': 0.3429243110000086, 'HR@5': 0.46860343929129755}","{'NDCG@5': 0.325225349943323, 'HR@5': 0.43997646135739504}","{'NDCG@5': 0.3074385678782469, 'HR@5': 0.41503359462486}","{'NDCG@5': 0.27884409120420606, 'HR@5': 0.3828418964219744}","{'NDCG@5': 0.23972709117735022, 'HR@5': 0.3347651189745688}","{'NDCG@5': 0.19789129326051388, 'HR@5': 0.2825701826110657}"
"{'NDCG@5': 0.47335004734984015, 'HR@5': 0.6119531026594224}","{'NDCG@5': 0.4281167663627934, 'HR@5': 0.5657254138266796}","{'NDCG@5': 0.39924410348778516, 'HR@5': 0.5311932162325863}","{'NDCG@5': 0.3777043323100659, 'HR@5': 0.5035839306551092}","{'NDCG@5': 0.3436968629716909, 'HR@5': 0.4691245440333507}","{'NDCG@5': 0.3252533281859177, 'HR@5': 0.43958415064731265}","{'NDCG@5': 0.30762287835866414, 'HR@5': 0.41468365061590146}","{'NDCG@5': 0.27928104158430794, 'HR@5': 0.38427857973592394}","{'NDCG@5': 0.23999683868560232, 'HR@5': 0.3350378400490898}","{'NDCG@5': 0.198152787334239, 'HR@5': 0.28359225947124556}"
"{'NDCG@5': 0.47288402221384457, 'HR@5': 0.6102373462968258}","{'NDCG@5': 0.42863404172199404, 'HR@5': 0.565968841285297}","{'NDCG@5': 0.398514835530007, 'HR@5': 0.5299818291944276}","{'NDCG@5': 0.37783435854559305, 'HR@5': 0.5029171528588098}","{'NDCG@5': 0.34438692078890654, 'HR@5': 0.46899426784783743}","{'NDCG@5': 0.32583645325410093, 'HR@5': 0.44007453903491567}","{'NDCG@5': 0.3084233638107793, 'HR@5': 0.41559350503919373}","{'NDCG@5': 0.2798296968003632, 'HR@5': 0.3850311281384689}","{'NDCG@5': 0.2402548310074385, 'HR@5': 0.33531056112361085}","{'NDCG@5': 0.1982504821674209, 'HR@5': 0.2831834287271736}"
"{'NDCG@5': 0.47322807225521873, 'HR@5': 0.610523305690592}","{'NDCG@5': 0.42951344930937435, 'HR@5': 0.5654819863680624}","{'NDCG@5': 0.3987099176377569, 'HR@5': 0.5307894205532001}","{'NDCG@5': 0.3795155817029159, 'HR@5': 0.5042507084514085}","{'NDCG@5': 0.34431106365670533, 'HR@5': 0.469254820218864}","{'NDCG@5': 0.32680225502818344, 'HR@5': 0.44125147116516283}","{'NDCG@5': 0.3084403725890001, 'HR@5': 0.4153135498320269}","{'NDCG@5': 0.28077323679345373, 'HR@5': 0.38660463843469933}","{'NDCG@5': 0.24103620660959402, 'HR@5': 0.33565146246676214}","{'NDCG@5': 0.19937481064621504, 'HR@5': 0.2841373671300082}"
"{'NDCG@5': 0.47304047774530017, 'HR@5': 0.6108092650843581}","{'NDCG@5': 0.4305363395715852, 'HR@5': 0.5671859785783836}","{'NDCG@5': 0.3995083383679854, 'HR@5': 0.532404603270745}","{'NDCG@5': 0.3801025746540817, 'HR@5': 0.5054175695949324}","{'NDCG@5': 0.34418264382308256, 'HR@5': 0.46730067743616466}","{'NDCG@5': 0.32803276976249574, 'HR@5': 0.44262455865045114}","{'NDCG@5': 0.3093199059598221, 'HR@5': 0.416013437849944}","{'NDCG@5': 0.28148325834876, 'HR@5': 0.38715194636382294}","{'NDCG@5': 0.24108203054147864, 'HR@5': 0.33544692166087137}","{'NDCG@5': 0.19919414009296305, 'HR@5': 0.2833878440992096}"
"{'NDCG@5': 0.47356088138872454, 'HR@5': 0.610523305690592}","{'NDCG@5': 0.4299262005373127, 'HR@5': 0.5671859785783836}","{'NDCG@5': 0.39886566356208913, 'HR@5': 0.5320008075913588}","{'NDCG@5': 0.3805284143456356, 'HR@5': 0.5077512918819803}","{'NDCG@5': 0.3445501477298442, 'HR@5': 0.46860343929129755}","{'NDCG@5': 0.3281783194133874, 'HR@5': 0.44252648097293057}","{'NDCG@5': 0.31020993748655445, 'HR@5': 0.41685330347144456}","{'NDCG@5': 0.28188803627895154, 'HR@5': 0.38728877334610384}","{'NDCG@5': 0.24167122348229866, 'HR@5': 0.3360605440785437}","{'NDCG@5': 0.19982103640850132, 'HR@5': 0.28427364404469885}"
"{'NDCG@5': 0.4736047874926626, 'HR@5': 0.6108092650843581}","{'NDCG@5': 0.4293470535857662, 'HR@5': 0.5662122687439143}","{'NDCG@5': 0.3987322982437561, 'HR@5': 0.5320008075913588}","{'NDCG@5': 0.38098859454307255, 'HR@5': 0.5072512085347558}","{'NDCG@5': 0.34443392952939295, 'HR@5': 0.4688639916623241}","{'NDCG@5': 0.3274006086164299, 'HR@5': 0.4407610827775598}","{'NDCG@5': 0.310458155479655, 'HR@5': 0.41671332586786114}","{'NDCG@5': 0.28162288581176803, 'HR@5': 0.38674146541698023}","{'NDCG@5': 0.24177343754215366, 'HR@5': 0.3361969046158042}","{'NDCG@5': 0.1995704861441134, 'HR@5': 0.28331970564186426}"
"{'NDCG@5': 0.4750562452550546, 'HR@5': 0.6113811838718902}","{'NDCG@5': 0.42970904111504765, 'HR@5': 0.565968841285297}","{'NDCG@5': 0.3989378905333571, 'HR@5': 0.5309913183928932}","{'NDCG@5': 0.3809236048219472, 'HR@5': 0.50808468078013}","{'NDCG@5': 0.3444124677005738, 'HR@5': 0.4688639916623241}","{'NDCG@5': 0.3272128192089598, 'HR@5': 0.44105531581012164}","{'NDCG@5': 0.3114194384986516, 'HR@5': 0.41783314669652855}","{'NDCG@5': 0.28230376463720847, 'HR@5': 0.3872203598549634}","{'NDCG@5': 0.2422899452407117, 'HR@5': 0.33660598622758575}","{'NDCG@5': 0.2002685386410664, 'HR@5': 0.2839329517579722}"
"{'NDCG@5': 0.47514875100810616, 'HR@5': 0.6128109808407206}","{'NDCG@5': 0.4295655452283367, 'HR@5': 0.5657254138266796}","{'NDCG@5': 0.3992690944521967, 'HR@5': 0.5332121946295174}","{'NDCG@5': 0.3810852872838175, 'HR@5': 0.50808468078013}","{'NDCG@5': 0.3440172379233889, 'HR@5': 0.46769150599270454}","{'NDCG@5': 0.32801191976961963, 'HR@5': 0.44183993723028636}","{'NDCG@5': 0.3113277951534379, 'HR@5': 0.4173432250839866}","{'NDCG@5': 0.28274418439574595, 'HR@5': 0.38756242731066565}","{'NDCG@5': 0.24294229431449432, 'HR@5': 0.3374923297197791}","{'NDCG@5': 0.20036411334652252, 'HR@5': 0.2836603979285909}"
